neurons,layers,dropout_rate,learning_rate,run_time,val_loss,val_accuracy,val_f1,train_loss,train_accuracy,train_f1
62.0,14.0,0.6019427950497905,6.226986752637844e-06,15.82229839102365,0.21559924476749295,0.9368131933631477,0.936813133758503,0.06051853387398497,0.9869145998941637,0.9869145507983268
21.0,33.0,0.7498701098337569,2.9007338283708305e-05,10.883917719009332,0.6932077545386094,0.47252747612995105,0.4725274253677536,0.6931338669839969,0.5068870516847973,0.5068869920801525
71.0,43.0,0.345220357432765,1.3424693049044447e-07,16.114838403998874,0.693149195267604,0.47252747612995105,0.4725274253677536,0.6931463849446005,0.5068870510279968,0.506886991423352
54.0,40.0,0.13864119662448948,0.0001360256298667219,20.124372535967268,0.2835766653438191,0.9423076844477392,0.9423076248430944,0.03800017620660057,0.993112947330002,0.9931128877253572
21.0,14.0,0.8550112724359449,0.00020032847548610456,11.179063599964138,0.23856547261987412,0.9587912120661892,0.9587911347766499,0.007492039657965015,0.9986225892032802,0.998622571633867
61.0,13.0,0.15085386208885276,1.2327340152438623e-07,978.8483965709456,0.2548350537871266,0.9038461525361616,0.9038460929315169,0.16764264851398047,0.9511019250906532,0.9511018584254031
21.0,8.0,0.7532815204645478,0.00017397629337520505,13.794295206957031,0.1964449731858222,0.9532966993667267,0.9532966397620819,0.006865443958138878,0.9993112947658402,0.9993112842570323
89.0,30.0,0.18671686926546693,0.0001700787209143448,24.8958672650042,0.2706591328094294,0.9505494426894974,0.9505493830848526,3.2124465035826876e-05,1.0,1.0
6.0,18.0,0.8373890281059292,0.0037168595385144746,16.463378540996928,0.3086140846813118,0.934065926205981,0.9340658666013362,0.0217065784808238,0.9958677685950413,0.9958677160510019
38.0,45.0,0.8174632770652245,2.054750012609307e-06,28.8621593429707,0.6931724829988165,0.47252747612995105,0.4725274253677536,0.6931405000121797,0.506887053901499,0.5068869978271568
90.0,11.0,0.2319626974037875,0.00015259518043918508,20.277147455024533,0.31330700791799104,0.9505494570994115,0.9505493974947667,0.0004986994476480918,1.0,1.0
58.0,7.0,0.21785931529886637,3.645913917756639e-05,20.479939658020157,0.2171036081982183,0.9395604317004864,0.9395603720958416,0.024604234485258412,0.9972451787349607,0.9972451506567396
33.0,25.0,0.9703514586995048,5.4394194826416814e-05,28.04027367301751,0.3474237615918065,0.9505494466194739,0.9505493870148292,0.012632242986321778,0.9979338842975206,0.9979338632799049
94.0,30.0,0.9295323854474312,5.992940751255897e-06,50.41465147596318,0.1743040165075889,0.9532967098466643,0.9532966502420195,0.04091953554962949,0.993112947330002,0.9931128877253572
23.0,31.0,0.7197043509993415,0.000561160254654354,31.617947986989748,0.2788225250257241,0.9615384648134421,0.9615383875239026,0.008152175571553963,0.9986225892032802,0.998622571633867
62.0,14.0,0.7628455691410825,3.041706614193112e-06,85.50668679503724,0.18005538420690284,0.9560439521139794,0.9560438925093346,0.03092233531341244,0.9931129476584022,0.9931128951143627
39.0,19.0,0.4863044755848861,1.5187757098540914e-05,41.462393839028664,0.16430526120322092,0.9587912153411697,0.958791155736525,0.014846685114149877,0.9979338842975206,0.997933852771097
85.0,23.0,0.5262843593029496,4.874199614013676e-07,415.2497156300233,0.22271662508393383,0.945054951604906,0.9450548920002613,0.046959300979602436,0.9965564731724006,0.9965564450941795
95.0,27.0,0.6976693888855657,0.0006723089210184911,30.250260733999312,0.6524243724870158,0.9505494570994115,0.9505493974947667,5.079754354039684e-05,1.0,1.0
30.0,36.0,0.10400533879482177,3.427644413761018e-05,30.39880947000347,0.6933074207096309,0.47252747612995105,0.4725274253677536,0.6931123702322485,0.5068870498785959,0.5068869902739511
