params,run_time,val_loss,val_accuracy,val_f1,train_loss,train_accuracy,train_f1
"{'activation_fn': 'relu', 'conv_filters': 28.0, 'conv_layers': 8.0, 'dense_layers': 2.0, 'dense_neurons': 56.0, 'dropout_rate_dense': 0.682329145732038, 'learning_rate': 0.0008180447830261685}",177.22859905599762,0.6578827500343323,0.7250000238418579,0.8405796885490417,0.7433624505996704,0.60234375,0.8568369805812835
"{'activation_fn': 'relu', 'conv_filters': 91.0, 'conv_layers': 5.0, 'dense_layers': 3.0, 'dense_neurons': 37.0, 'dropout_rate_dense': 0.31245152458296244, 'learning_rate': 1.2646373166839237e-05}",233.19255289099965,2.899678945541382,0.7250000238418579,0.8405796885490417,0.5089028596878051,0.739453125,0.858887231349945
"{'activation_fn': 'relu', 'conv_filters': 11.0, 'conv_layers': 7.0, 'dense_layers': 1.0, 'dense_neurons': 98.0, 'dropout_rate_dense': 0.39523137694393173, 'learning_rate': 1.7556395114981488e-06}",240.81931473800068,0.660286009311676,0.7250000238418579,0.8405796885490417,0.5754168510437012,0.740234375,0.8572770357131958
"{'activation_fn': 'relu', 'conv_filters': 26.0, 'conv_layers': 5.0, 'dense_layers': 3.0, 'dense_neurons': 88.0, 'dropout_rate_dense': 0.27550116272109193, 'learning_rate': 1.9413690201251064e-05}",265.6536963159997,0.6691614985466003,0.675000011920929,0.8405796885490417,0.5050496399402619,0.75,0.8511916756629944
"{'activation_fn': 'relu', 'conv_filters': 19.0, 'conv_layers': 6.0, 'dense_layers': 5.0, 'dense_neurons': 10.0, 'dropout_rate_dense': 0.7489020765815924, 'learning_rate': 0.0005155174812551425}",285.1807762799981,0.6742202639579773,0.7250000238418579,0.8405796885490417,0.8057328701019287,0.720703125,0.8521641731262207
"{'activation_fn': 'relu', 'conv_filters': 91.0, 'conv_layers': 8.0, 'dense_layers': 2.0, 'dense_neurons': 59.0, 'dropout_rate_dense': 0.3376306625708235, 'learning_rate': 0.00743712090755765}",330.8035676110012,0.9794528484344482,0.7250000238418579,0.8405796885490417,0.5560556352138519,0.75,0.8585796356201172
"{'activation_fn': 'relu', 'conv_filters': 75.0, 'conv_layers': 5.0, 'dense_layers': 3.0, 'dense_neurons': 61.0, 'dropout_rate_dense': 0.9459432367703624, 'learning_rate': 0.00022470094301254627}",358.0255015440016,3.551532030105591,0.2750000059604645,0.8405796885490417,2.6219244480133055,0.654296875,0.8550297498703003
"{'activation_fn': 'relu', 'conv_filters': 27.0, 'conv_layers': 6.0, 'dense_layers': 5.0, 'dense_neurons': 93.0, 'dropout_rate_dense': 0.6911690199756632, 'learning_rate': 1.8221298323274874e-05}",395.17995596200126,0.6721892952919006,0.7250000238418579,0.8405796885490417,1.1616936802864075,0.650390625,0.8508655786514282
"{'activation_fn': 'relu', 'conv_filters': 125.0, 'conv_layers': 4.0, 'dense_layers': 2.0, 'dense_neurons': 99.0, 'dropout_rate_dense': 0.20758206258487555, 'learning_rate': 6.871397315928627e-05}",423.2327202279994,4.43246603012085,0.7250000238418579,0.8405796885490417,0.6072961777448654,0.805859375,0.8596010982990265
"{'activation_fn': 'relu', 'conv_filters': 46.0, 'conv_layers': 4.0, 'dense_layers': 5.0, 'dense_neurons': 1.0, 'dropout_rate_dense': 0.39762315954937133, 'learning_rate': 5.347233285932847e-06}",454.4876157059989,0.6843452453613281,0.7250000238418579,0.8405796885490417,0.6861249208450317,0.74609375,0.8545105576515197
"{'activation_fn': 'relu', 'conv_filters': 48.0, 'conv_layers': 6.0, 'dense_layers': 2.0, 'dense_neurons': 2.0, 'dropout_rate_dense': 0.5292647486121603, 'learning_rate': 7.38349016512807e-05}",497.41733301099885,0.6845457553863525,0.7250000238418579,0.8405796885490417,0.6861069798469543,0.751953125,0.8560370981693268
"{'activation_fn': 'relu', 'conv_filters': 45.0, 'conv_layers': 7.0, 'dense_layers': 2.0, 'dense_neurons': 65.0, 'dropout_rate_dense': 0.665820764812004, 'learning_rate': 2.7201764778496527e-06}",540.8190580790033,1.4309885501861572,0.7250000238418579,0.8405796885490417,0.686529815196991,0.65703125,0.8539771378040314
"{'activation_fn': 'relu', 'conv_filters': 109.0, 'conv_layers': 7.0, 'dense_layers': 1.0, 'dense_neurons': 64.0, 'dropout_rate_dense': 0.4550778802146517, 'learning_rate': 0.0003206298012385862}",599.7025102759981,11.402528762817383,0.28333336114883423,0.8405796885490417,0.3855168431997299,0.8296875,0.8509099066257477
"{'activation_fn': 'relu', 'conv_filters': 2.0, 'conv_layers': 8.0, 'dense_layers': 2.0, 'dense_neurons': 73.0, 'dropout_rate_dense': 0.554787971695625, 'learning_rate': 0.00011801443625154373}",645.5739199760028,0.6456168293952942,0.7250000238418579,0.8405796885490417,0.6423743069171906,0.690625,0.8552385807037354
"{'activation_fn': 'relu', 'conv_filters': 103.0, 'conv_layers': 6.0, 'dense_layers': 1.0, 'dense_neurons': 29.0, 'dropout_rate_dense': 0.7161060331329269, 'learning_rate': 2.9781126505127027e-05}",720.3877798730027,4.07049560546875,0.7250000238418579,0.8405796885490417,0.4805497884750366,0.766796875,0.8573264062404633
"{'activation_fn': 'relu', 'conv_filters': 97.0, 'conv_layers': 6.0, 'dense_layers': 2.0, 'dense_neurons': 21.0, 'dropout_rate_dense': 0.21022928322220347, 'learning_rate': 0.0014383018408493091}",763.7961009989995,5.93539571762085,0.42500001192092896,0.8405796885490417,0.3390785723924637,0.8453125,0.862867659330368
