conv_layers,conv_filters,dense_layers,dense_neurons,dropout_rate_dense,learning_rate,activation_fn,run_time,val_loss,val_accuracy,val_f1,train_loss,train_accuracy,train_f1
8.0,98.0,1.0,96.0,0.9312976706773337,0.0012730777075806259,relu,584.504879909,0.7699732821059162,0.5566967162189431,0.6642382343068759,0.20678601264953614,0.917578125,0.6638231158256531
8.0,53.0,2.0,47.0,0.9045201556646618,3.1488665365275545e-05,relu,385.87470933499935,0.8645109928921068,0.5076241905747707,0.6642382343068759,0.910845959186554,0.508984375,0.67594593167305
7.0,92.0,4.0,16.0,0.326404095458124,1.7616012565906874e-05,relu,879.3050920940004,0.6308194683098338,0.6978620972880226,0.6642382343068759,0.19339112639427186,0.953125,0.6644129097461701
5.0,110.0,2.0,84.0,0.6553666625403572,0.00017430939315609545,relu,711.2722007349985,1.8976199029252054,0.7385506210924819,0.6642382343068759,0.30158716142177583,0.846875,0.6771549224853516
7.0,117.0,4.0,73.0,0.98439359995218,0.006056649802562521,relu,482.3804234659983,4.141971025544876,0.5167155774152896,0.6642382343068759,0.9693506300449372,0.52109375,0.6696218073368072
8.0,37.0,5.0,42.0,0.7753132015738552,0.00018607850871721975,relu,653.9087363789986,0.6935885582697814,0.502724795640327,0.6642382343068759,0.815880423784256,0.5140625,0.6685296297073364
5.0,33.0,3.0,14.0,0.32908270249103366,0.006510018450911215,relu,678.713173600001,2.225710332880878,0.502724795640327,0.6642382343068759,0.3091190457344055,0.885546875,0.6727700769901276
4.0,20.0,5.0,10.0,0.24163598964520383,0.0030494084325703667,relu,742.1119766030024,0.787630926685697,0.6059264305177112,0.6642382343068759,0.40514429807662966,0.901953125,0.6764899015426635
7.0,117.0,1.0,39.0,0.9080078175491646,0.004833079510207477,relu,1161.2466016379985,0.7641324339185813,0.6947704980743679,0.6642382343068759,0.22311352640390397,0.887109375,0.6665422439575195
7.0,40.0,2.0,15.0,0.22927631674565996,0.008510214743628014,relu,751.012776421001,0.6996220342144979,0.5192569802827341,0.6642382343068759,0.4168024241924286,0.79765625,0.6651364088058471
8.0,47.0,2.0,61.0,0.22755319952522823,1.912207700177958e-05,relu,1260.2732978640015,0.5475006075093791,0.8670090238794644,0.6642382343068759,0.006720234686508775,0.998046875,0.6682518661022187
5.0,68.0,1.0,23.0,0.14687538609274586,1.3792239478164015e-05,relu,1082.3832707589972,0.8044822591202135,0.7525414028674445,0.6642382343068759,0.00668251789174974,0.99921875,0.6678308129310608
5.0,90.0,3.0,80.0,0.5132901475173122,7.809812363398805e-06,relu,1173.8658972200028,0.5376680019116207,0.7892475496845609,0.6642382343068759,0.1973962053656578,0.930859375,0.6767839908599853
5.0,12.0,4.0,66.0,0.021360167218096415,0.002096410730965277,relu,1036.4588194940006,0.6911208166738297,0.6538985634694632,0.6642382343068759,0.026159340143203737,0.9921875,0.6623536229133606
8.0,43.0,3.0,13.0,0.5172510802373835,0.002429399546855023,relu,1111.0111610090025,0.7111925308970729,0.47220184725052006,0.6642382343068759,0.69736088514328,0.540625,0.6682467758655548
5.0,66.0,4.0,66.0,0.5865810961755116,1.6789575266822656e-06,relu,1816.458698770999,0.6386949312784367,0.6716883294588863,0.6642382343068759,0.5930296599864959,0.696875,0.6720929265022277
7.0,55.0,2.0,19.0,0.16912105500690544,0.0006611953001928275,relu,1504.7838899220005,0.6029727179607838,0.740908631187044,0.6642382343068759,0.043652409315109254,0.986328125,0.6627751111984252
6.0,14.0,1.0,41.0,0.08706822870852626,4.694785300772345e-05,relu,1412.799452719999,0.9570696807037582,0.5054495912806539,0.6642382343068759,0.08790046498179435,0.9796875,0.6750864624977112
5.0,35.0,1.0,24.0,0.6546790916958614,0.001376652103341903,relu,1569.0497268920008,1.5617608108052765,0.49745861516011836,0.6642382343068759,0.13742834851145744,0.948046875,0.6685064613819123
7.0,47.0,5.0,21.0,0.2635238116947909,6.281903960925165e-06,relu,1916.0077049750034,0.707126877775634,0.6920457024340408,0.6642382343068759,0.15398516803979873,0.96875,0.6709392964839935
