params,run_time,val_loss,val_accuracy,val_f1,train_loss,train_accuracy,train_f1
"{'dropout_rate': 0.8572858681190482, 'layers': 22.0, 'learning_rate': 3.312498081882794e-05, 'neurons': 59.0}",222.63479843107052,0.12660516316399856,0.9908088235294118,0.9583332795722812,0.047504392324709425,0.9908088235294118,0.9908087767806708
"{'dropout_rate': 0.8848595682215383, 'layers': 37.0, 'learning_rate': 8.56013752754874e-06, 'neurons': 31.0}",194.54462099494413,0.12917908164216022,0.9895833333333334,0.9681371917911604,0.04135519792051876,0.9895833333333334,0.9895832737286886
"{'dropout_rate': 0.20205302627665656, 'layers': 30.0, 'learning_rate': 5.6101210909844945e-06, 'neurons': 21.0}",199.81535409693606,0.12565080850732094,0.9926470588235294,0.9607842564582825,0.03985106718598628,0.9926470588235294,0.9926470120747884
"{'dropout_rate': 0.8676944095656204, 'layers': 32.0, 'learning_rate': 1.6059516183398902e-06, 'neurons': 86.0}",228.08201120095327,0.13758084718503205,0.9944852941176471,0.9534313152818119,0.04350488209256939,0.9944852941176471,0.9944852473689061
"{'dropout_rate': 0.2879063304295305, 'layers': 31.0, 'learning_rate': 0.000658810246987045, 'neurons': 14.0}",212.78778950497508,0.08832830964934592,0.9969362745098039,0.9656862113990036,0.027710570752912878,0.9969362745098039,0.9969362464605593
"{'dropout_rate': 0.238329626938669, 'layers': 42.0, 'learning_rate': 3.7834813564556405e-05, 'neurons': 63.0}",228.74998734204564,0.1038569923417241,0.9938725490196079,0.9632352403565949,0.03711573136787789,0.9938725490196079,0.9938725116206151
"{'dropout_rate': 0.7000560876907946, 'layers': 23.0, 'learning_rate': 0.00016934316568377393, 'neurons': 48.0}",219.6888300239807,0.1145569955309232,0.9963235294117647,0.9632352275006911,0.031456125425357445,0.9963235294117647,0.9963234920127719
"{'dropout_rate': 0.0013197536118066955, 'layers': 25.0, 'learning_rate': 0.004211729582713069, 'neurons': 1.0}",245.56161318998784,0.10448302109451856,0.9926470588235294,0.9558822956739688,0.03878342341996875,0.9926470588235294,0.9926470120747884
"{'dropout_rate': 0.2997227247635369, 'layers': 4.0, 'learning_rate': 6.008056654504311e-05, 'neurons': 34.0}",247.51143615995534,0.11576861479118758,0.9957107843137255,0.965686207892848,0.03147144476864852,0.9957107843137255,0.9957107375649845
"{'dropout_rate': 0.6162101104469372, 'layers': 47.0, 'learning_rate': 0.008029622765367977, 'neurons': 19.0}",220.9078723769635,0.10063059788708593,0.9944852941176471,0.9705881721833173,0.028476439672065715,0.9944852941176471,0.9944852380191579
"{'dropout_rate': 0.6933342860570065, 'layers': 23.0, 'learning_rate': 4.232208580701227e-05, 'neurons': 31.0}",251.84297431400046,0.1033566161697986,0.9944852941176471,0.965686207892848,0.028028015996895583,0.9944852941176471,0.9944852473689061
"{'dropout_rate': 0.5264989486313906, 'layers': 19.0, 'learning_rate': 0.0008669911899852829, 'neurons': 47.0}",208.68031354492996,0.11717003598517063,0.9908088235294118,0.9583332667163774,0.037232946896669915,0.9908088235294118,0.9908087767806708
"{'dropout_rate': 0.7710846191584058, 'layers': 30.0, 'learning_rate': 0.005064264213295562, 'neurons': 55.0}",241.2672966220416,0.12070445234284681,0.9920343137254902,0.9632352275006911,0.03877188217844449,0.9920343137254902,0.992034257627001
"{'dropout_rate': 0.6686872845084567, 'layers': 30.0, 'learning_rate': 1.971653465186292e-06, 'neurons': 91.0}",240.6424844559515,0.12162874799733069,0.987132351772458,0.9632352403565949,0.050240049832591824,0.987132351772458,0.9871322921678132
"{'dropout_rate': 0.3254518914012977, 'layers': 22.0, 'learning_rate': 1.620947883281987e-05, 'neurons': 34.0}",248.13110080594197,0.11227281815281101,0.9895833321646148,0.9656862207487518,0.04372337840351404,0.9895833321646148,0.98958327255997
"{'dropout_rate': 0.055075145626987454, 'layers': 16.0, 'learning_rate': 3.4201905502071806e-06, 'neurons': 80.0}",246.39181637193542,0.12462439388036728,0.9908088246981303,0.9534313059320637,0.04541629662408548,0.9908088246981303,0.9908087650934855
"{'dropout_rate': 0.7360905886308281, 'layers': 12.0, 'learning_rate': 0.0042280874905999, 'neurons': 31.0}",278.0962787369499,0.13429527393743104,0.9865196078431373,0.9558822863242206,0.05317147667793667,0.9865196078431373,0.986519551744648
"{'dropout_rate': 0.996400706053393, 'layers': 35.0, 'learning_rate': 0.004999479729955371, 'neurons': 15.0}",280.84249151998665,0.11053697735655542,0.9963235282430462,0.965686207892848,0.03286243164364029,0.9963235282430462,0.9963234873378978
"{'dropout_rate': 0.6412142076896594, 'layers': 27.0, 'learning_rate': 0.0007940345130855612, 'neurons': 6.0}",373.8355348140467,0.09357532822326117,0.9975490196078431,0.975490132967631,0.022722087983115046,0.9975490196078431,0.9975489915585986
"{'dropout_rate': 0.8096340092625994, 'layers': 19.0, 'learning_rate': 0.004528765084526915, 'neurons': 63.0}",318.5070497880224,0.10892776005408343,0.9969362745098039,0.965686207892848,0.03376589306429321,0.9969362745098039,0.9969362371108111
