params,run_time,val_loss,val_accuracy,val_f1,train_loss,train_accuracy,train_f1
"{'dropout_rate': 0.7669931865822298, 'layers': 22.0, 'learning_rate': 0.00019294102795918956, 'neurons': 35.0}",4.460984250996262,0.7275733082902198,0.5,0.49999993805791815,0.7381051299618739,0.5,0.4999999403953552
"{'dropout_rate': 0.777588331991491, 'layers': 3.0, 'learning_rate': 0.0006721494797462149, 'neurons': 88.0}",5.036153228953481,0.6839711701168734,0.5428921580314636,0.5637254235791225,0.688312688294579,0.5428921580314636,0.5428920984268188
"{'dropout_rate': 0.22562338913235191, 'layers': 36.0, 'learning_rate': 8.568120078021131e-06, 'neurons': 62.0}",4.429694690974429,0.6786368430829516,0.5232843137254902,0.5220587685996411,0.6850539995174781,0.5232843137254902,0.5232842541208454
"{'dropout_rate': 0.9916250344998301, 'layers': 5.0, 'learning_rate': 0.0005009367505714247, 'neurons': 95.0}",4.954145369934849,0.7281759942279142,0.4999999994156407,0.4999999427327923,0.7258464203161352,0.4999999994156407,0.49999994331715153
"{'dropout_rate': 0.21876877658798588, 'layers': 16.0, 'learning_rate': 0.0053026152327921485, 'neurons': 91.0}",5.069601894007064,0.6920038952546961,0.4908088229450525,0.48039210719220776,0.6925804089097416,0.4908088229450525,0.4908087668465633
